file,width,height,dimensions,ratio,ratio_decimal,status
src/assets/people at zigma/office/10_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/11_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/12_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/13_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/14_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/15_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/16_result.webp,4082,6123,4082 x 6123,2:3,0.666667,ok
src/assets/people at zigma/office/17_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/18_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/19_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/20_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/22_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/24_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/25_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/26_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/27_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/29_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/30_result.jpg,5672,4048,5672 x 4048,709:506,1.401186,ok
src/assets/people at zigma/office/32_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/33_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/34_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/37_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/39_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/42_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/43_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/44_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/45_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/46_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/47_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/48_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
